book_name|total_words|avg_sentence_size|!|#|''|%|$|&|(|+|*|-|,|/|.|;|:|=|<|?|>|@|[|]|_|^|`|{|~|neg|neu|pos|compound|ID|Title|Author|CC|CD|DT|EX|FW|IN|JJ|JJR|JJS|LS|MD|NN|NNP|NNPS|NNS|PDT|PRP|PRP$|RB|RBR|RBS|RP|VB|VBD|VBG|VBP|VBN|WDT|VBZ|WRB|WP$|WP|
Ambrose Bierce___Cobwebs From an Empty Skull.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|40|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___Fantastic Fables.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|41|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___Present at a Hanging and Other Ghost Stories.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|42|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___Shapes of Clay.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|43|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___The Collected Works of Ambrose Bierce, Volume 1.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|44|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___The Collected Works of Ambrose Bierce, Volume 2.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|45|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___The Collected Works of Ambrose Bierce, Volume 8.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|46|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___The Damned Thing.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|47|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___The Devil's Dictionary.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|48|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
Ambrose Bierce___The Fiend's Delight.txt|0|0.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0|1.0|0.0|0.0|49|NULL|NULL|0|0|0|0|0|0|0|0|0|0|0|0.2727272727272727|0.09090909090909091|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
